2654
itemid	name	level	unk	price	pricec	sell	unk	unk	durtype	duration	hp	attmin	attmax	att(trans)min	att(trans)max	TransGauge	Crit	evade	spectrans	speed	transbotdef	transbotatt	transspeed	ranged	luck	unk	description
1110100	Hammer-Head	16777216	128001	0	64000	65792	65793	4325376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120100	Hammer-Head	16777216	179201	0	89600	65792	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130100	Hammer-Head	16777216	102401	0	51200	65792	65793	0	589824	851968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110101	Hammer-HeadCRT(+1)	16777216	153601	0	38400	256	65793	4325376	0	0	0	0	0	327680	0	0	0	0	0	0	0	0	0	0	0	0	
1120101	Hammer-HeadTA(+1)	16777216	281601	0	70400	256	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	1245184	0	0	0	0	0	0	0	
1130101	Hammer-HeadTD(+1)	16777216	179201	0	44800	256	65793	0	589824	851968	0	0	0	0	0	0	0	1376256	0	0	0	0	0	0	0	0	
1110102	Hammer-HeadCRT(+2)	16777216	179201	0	44800	256	65793	4325376	0	0	0	0	0	1638400	0	0	0	0	0	0	0	0	0	0	0	0	
1120102	Hammer-HeadTA(+2)	16777216	435201	0	108800	256	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	3604480	0	0	0	0	0	0	0	
1130102	Hammer-HeadTD(+2)	16777216	204801	0	51200	256	65793	0	589824	851968	0	0	0	0	0	0	0	2949120	0	0	0	0	0	0	0	0	
1110103	Hammer-HeadCRT(+3)	16777216	307201	0	76800	256	65793	4325376	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	0	0	0	0	
1120103	Hammer-HeadTA(+3)	16777216	844801	0	211200	256	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	9502720	0	0	0	0	0	0	0	
1130103	Hammer-HeadTD(+3)	16777216	230401	0	57600	256	65793	0	589824	851968	0	0	0	0	0	0	0	6881280	0	0	0	0	0	0	0	0	
1110104	Hammer-HeadCRT(+4)	16777216	332801	0	83200	256	65793	4325376	0	0	0	0	0	5636096	0	0	0	0	0	0	0	0	0	0	0	196608	
1120104	Hammer-HeadTA(+4)	16777216	921601	0	230400	256	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	10485760	0	0	0	0	0	0	196608	
1130104	Hammer-HeadTD(+4)	16777216	256001	0	64000	256	65793	0	589824	851968	0	0	0	0	0	0	0	7929856	0	0	0	0	0	0	0	196608	
1110105	Hammer-HeadCRT(+5)	16777216	358401	0	89600	256	65793	4325376	0	0	0	0	0	6225920	0	0	0	0	0	0	0	0	0	0	0	131072	
1120105	Hammer-HeadTA(+5)	16777216	1024001	0	256000	256	65793	0	0	0	1179648	1376256	0	0	0	0	0	0	11468800	0	0	0	0	0	0	131072	
1130105	Hammer-HeadTD(+5)	16777216	281601	0	70400	256	65793	0	589824	851968	0	0	0	0	0	0	0	8716288	0	0	0	0	0	0	0	131072	
1110200	C.A.T.	134217728	563201	0	281600	65792	65793	8585216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120200	C.A.T.	134217728	742401	0	371200	65792	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130200	C.A.T.	134217728	512001	0	256000	65792	65793	0	786432	1114112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110201	C.A.T.CRT(+1)	67108864	332801	0	83200	256	65793	8585216	0	0	0	0	0	1966080	0	0	0	0	0	0	0	0	0	0	0	0	
1120201	C.A.T.TA(+1)	67108864	614401	0	153600	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	4194304	0	0	0	0	0	0	0	
1130201	C.A.T.TD(+1)	67108864	256001	0	64000	256	65793	0	786432	1114112	0	0	0	0	0	0	0	3342336	0	0	0	0	0	0	0	0	
1110202	C.A.T.CRT(+2)	83886080	358401	0	89600	256	65793	8585216	0	0	0	0	0	3276800	0	0	0	0	0	0	0	0	0	0	0	0	
1120202	C.A.T.TA(+2)	83886080	793601	0	198400	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	6553600	0	0	0	0	0	0	0	
1130202	C.A.T.TD(+2)	83886080	281601	0	70400	256	65793	0	786432	1114112	0	0	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	
1110203	C.A.T.CRT(+3)	100663296	486401	0	121600	256	65793	8585216	0	0	0	0	0	6553600	0	0	0	0	0	0	0	0	0	0	0	0	
1120203	C.A.T.TA(+3)	100663296	1177601	0	294400	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	12451840	0	0	0	0	0	0	0	
1130203	C.A.T.TD(+3)	100663296	307201	0	76800	256	65793	0	786432	1114112	0	0	0	0	0	0	0	8847360	0	0	0	0	0	0	0	0	
1110204	C.A.T.CRT(+4)	117440512	537601	0	134400	256	65793	8585216	0	0	0	0	0	7536640	0	0	0	0	0	0	0	0	0	0	0	196608	
1120204	C.A.T.TA(+4)	117440512	1305601	0	326400	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	13697024	0	0	0	0	0	0	196608	
1130204	C.A.T.TD(+4)	117440512	332801	0	83200	256	65793	0	786432	1114112	0	0	0	0	0	0	0	10158080	0	0	0	0	0	0	0	196608	
1110205	C.A.T.CRT(+5)	134217728	588801	0	147200	256	65793	8585216	0	0	0	0	0	8323072	0	0	0	0	0	0	0	0	0	0	0	131072	
1120205	C.A.T.TA(+5)	134217728	1433601	0	358400	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	15073280	0	0	0	0	0	0	131072	
1130205	C.A.T.TD(+5)	134217728	358401	0	89600	256	65793	0	786432	1114112	0	0	0	0	0	0	0	11206656	0	0	0	0	0	0	0	131072	
1110300	Hazard-Hex	301989888	2124801	0	1062400	65792	65793	12845056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1120300	Hazard-Hex	301989888	2560001	0	1280000	65792	65793	0	0	0	2490368	4128768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1130300	Hazard-Hex	301989888	1612801	0	806400	65792	65793	0	983040	1376256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1110301	Hazard-HexCRT(+1)	234881024	1433601	0	358400	256	65793	12845056	0	0	0	0	0	3604480	0	0	0	0	0	0	0	0	0	0	0	0	
1120301	Hazard-HexTA(+1)	234881024	2713601	0	678400	256	65793	0	0	0	2490368	4128768	0	0	0	0	0	0	7143424	0	0	0	0	0	0	0	
1130301	Hazard-HexTD(+1)	234881024	947201	0	236800	256	65793	0	983040	1376256	0	0	0	0	0	0	0	5308416	0	0	0	0	0	0	0	0	
1110302	Hazard-HexCRT(+2)	251658240	2099201	0	524800	256	65793	12845056	0	0	0	0	0	4915200	0	0	0	0	0	0	0	0	0	0	0	0	
1120302	Hazard-HexTA(+2)	251658240	4352001	0	1088000	256	65793	0	0	0	2490368	4128768	0	0	0	0	0	0	9502720	0	0	0	0	0	0	0	
1130302	Hazard-HexTD(+2)	251658240	1331201	0	332800	256	65793	0	983040	1376256	0	0	0	0	0	0	0	6881280	0	0	0	0	0	0	0	0	
1110303	Hazard-HexCRT(+3)	268435456	3328001	0	832000	256	65793	12845056	0	0	0	0	0	8192000	0	0	0	0	0	0	0	0	0	0	0	0	
1120303	Hazard-HexTA(+3)	268435456	7424001	0	1856000	256	65793	0	0	0	2490368	4128768	0	0	0	0	0	0	15400960	0	0	0	0	0	0	0	
1130303	Hazard-HexTD(+3)	268435456	1792001	0	448000	256	65793	0	983040	1376256	0	0	0	0	0	0	0	10813440	0	0	0	0	0	0	0	0	
1110304	Hazard-HexCRT(+4)	285212672	3584001	0	896000	256	65793	8585216	0	0	0	0	0	9437184	0	0	0	0	0	0	0	0	0	0	0	196608	
1120304	Hazard-HexTA(+4)	285212672	8192001	0	2048000	256	65793	0	0	0	1835008	2752512	0	0	0	0	0	0	16973824	0	0	0	0	0	0	196608	
